filename,ipc_v1,instructions_v1,cycles_v1,llc_mshr_merging_v1,whole_llc_mshr_hit_diff_cpu_id_v1,llc_mshr_full_stall_v1,ipc_v2,instructions_v2,cycles_v2,llc_mshr_merging_v2,whole_llc_mshr_hit_diff_cpu_id_v2,llc_mshr_full_stall_v2,ipc_v3,instructions_v3,cycles_v3,llc_mshr_merging_v3,whole_llc_mshr_hit_diff_cpu_id_v3,llc_mshr_full_stall_v3
459.GemsFDTD-1211B.champsimtrace.xz459.GemsFDTD-1211B.champsimtrace.xz.txt,0.03073,10174611,331146589,656929,38,2043,,0.018600098,,,,,,,,,,
602.gcc_s-2226B.champsimtrace.xz602.gcc_s-2226B.champsimtrace.xz.txt,0.0045,10007343,2225754811,6132633,103,0,,#DIV/0!,,,,,,,,,,
619.lbm_s-4268B.champsimtrace.xz619.lbm_s-4268B.champsimtrace.xz.txt,0.02659,10060094,378325157,1041503,5,1882,,0.002656748,,,,,,,,,,
458.sjeng-283B.champsimtrace.xz458.sjeng-283B.champsimtrace.xz.txt,0.50167,10049545,20032221,38251,77,180,,0.427777778,,,,,,,,,,
437.leslie3d-271B.champsimtrace.xz437.leslie3d-271B.champsimtrace.xz.txt,0.12742,10006345,78528180,216072,1,196,,0.005102041,,,,,,,,,,
401.bzip2-277B.champsimtrace.xz401.bzip2-277B.champsimtrace.xz.txt,0.08166,10506646,128664456,456566,22,0,,#DIV/0!,,,,,,,,,,
410.bwaves-2097B.champsimtrace.xz410.bwaves-2097B.champsimtrace.xz.txt,0.01749,10061842,575130155,1582137,30,336,,0.089285714,,,,,,,,,,
607.cactuBSSN_s-4004B.champsimtrace.xz607.cactuBSSN_s-4004B.champsimtrace.xz.txt,0.15526,10310597,66409761,228418,222,30041,,0.0073899,,,,,,,,,,
464.h264ref-57B.champsimtrace.xz464.h264ref-57B.champsimtrace.xz.txt,0.21057,10134614,48128754,113402,334,265428,,0.001258345,,,,,,,,,,
433.milc-274B.champsimtrace.xz433.milc-274B.champsimtrace.xz.txt,0.02495,10054783,402950849,1030807,22,291,,0.075601375,,,,,,,,,,
435.gromacs-226B.champsimtrace.xz435.gromacs-226B.champsimtrace.xz.txt,1.12139,10151998,9053024,48398,18,2499,,0.007202881,,,,,,,,,,
